,name,institute,provider,date,review,rating
859,CS50's Mobile App Development with React Native,Harvard University,edX,Self Paced,1 Reviews,4.0
870,Professional Android App Development,Galileo University,edX,Self Paced,1 Reviews,5.0
871,Java Fundamentals for Android Development,Galileo University,edX,Self Paced,2 Reviews,3.5
872,Android App Development for Beginners,Galileo University,edX,Self Paced,3 Reviews,2.7
873,Agile Development Using Ruby on Rails - Advanced,"University of California, Berkeley",edX,Self Paced,4 Reviews,4.8
877,Implementing ETL with SQL Server Integration Services,Microsoft,edX,Self Paced,1 Reviews,2.0
883,Introduction to NodeJS,Microsoft,edX,Self Paced,2 Reviews,4.5
885,Developing SQL Databases,Microsoft,edX,Self Paced,1 Reviews,2.0
886,Introduction to Data Modeling,Microsoft,edX,Self Paced,1 Reviews,2.0
890,Asynchronous Programming with Javascript,Microsoft,edX,Self Paced,1 Reviews,5.0
924,Hacker Tools,Massachusetts Institute of Technology,Independent,Self Paced,1 Reviews,5.0
926,Introduction to jQuery,Microsoft,edX,Self Paced,6 Reviews,4.3
930,Introduction to TypeScript 2,Microsoft,edX,Self Paced,1 Reviews,1.0
931,Microsoft Professional Orientation : Front End Web Development,Microsoft,edX,Self Paced,2 Reviews,4.0
934,Introduction to ReactJS,Microsoft,edX,Self Paced,3 Reviews,2.3
940,Introducción al desarrollo de aplicaciones web,Universidad Autónoma de Madrid,edX,Self Paced,6 Reviews,2.8
948,Software Development Fundamentals,University of Pennsylvania,edX,Self Paced,2 Reviews,3.0
956,Make Your Own App,Technische Universität München (Technical University of Munich),edX,Self Paced,1 Reviews,5.0
962,How to Win Coding Competitions: Secrets of Champions,ITMO University,edX,Self Paced,1 Reviews,3.0
966,Object Oriented Programming in C#,Microsoft,edX,Self Paced,1 Reviews,4.0
967,Introduction to C#,Microsoft,edX,Self Paced,1 Reviews,2.0
969,Writing Professional Code,Microsoft,edX,Self Paced,1 Reviews,1.0
970,Building Interactive Prototypes using JavaScript,Microsoft,edX,Self Paced,1 Reviews,4.0
973,Developing Planet-Scale Applications in Azure Cosmos DB,Microsoft,edX,Self Paced,1 Reviews,2.0
974,Advanced C++,Microsoft,edX,Self Paced,7 Reviews,1.3
977,Programming for the Web with JavaScript,University of Pennsylvania,edX,Self Paced,4 Reviews,4.5
984,Creative Coding,New York University (NYU),edX,Self Paced,1 Reviews,4.0
991,Intermediate C++,Microsoft,edX,Self Paced,5 Reviews,2.2
995,Introduction to Python: Absolute Beginner,Microsoft,edX,Self Paced,4 Reviews,3.3
1003,Introduction to C++,Microsoft,edX,Self Paced,7 Reviews,3.6
1010,Diseño de Sistemas de información gerencial para Internet con MySQL / PHP y Joomla,Universidad del Rosario,edX,Self Paced,1 Reviews,5.0
1011,Querying Data with Transact-SQL,Microsoft,edX,Self Paced,4 Reviews,4.3
1012,Learn to Program in Java,Microsoft,edX,Self Paced,3 Reviews,5.0
1014,Object-Oriented Programming,Indian Institute of Technology Bombay,edX,Self Paced,3 Reviews,3.3
1016,HTML5 and CSS Fundamentals,World Wide Web Consortium (W3C),edX,Self Paced,6 Reviews,3.7
1021,Databases: Relational Databases and SQL,Stanford University,edX,Self Paced,2 Reviews,4.0
1024,Databases: JSON Data,Stanford University,edX,Self Paced,1 Reviews,1.0
1030,Agile Software Development,ETH Zurich,edX,Self Paced,3 Reviews,4.3
1031,Introduction to Java Programming – Part 1,The Hong Kong University of Science and Technology,edX,Self Paced,6 Reviews,3.0
1061,"Desarrollo en HTML5, CSS y Javascript de Apps Web, Android, IOS...",Universidad Politécnica de Madrid,Miríadax,Self Paced,1 Reviews,5.0
1075,Computer Programming for Everyone,University of Leeds,FutureLearn,Self Paced,2 Reviews,1.5
1077,Learn to Code for the Web,University of Leeds,FutureLearn,Self Paced,3 Reviews,4.7
1083,Introduction to Python Programming,Georgia Institute of Technology,edX,Self Paced,1 Reviews,5.0
1098,Agile Project Management,University System of Maryland,edX,Self Paced,1 Reviews,5.0
1102,An Introduction to Coding and Design,University of Leeds,FutureLearn,Self Paced,1 Reviews,5.0
1105,iOS Developer,Google,Udacity,Self Paced,7 Reviews,4.7
1108,Android Basics,Google,Udacity,Self Paced,1 Reviews,5.0
1140,Python 3 Programming,University of Michigan,Coursera,Self Paced,1 Reviews,3.0
1149,iOS App Development with Swift,University of Toronto,Coursera,Self Paced,1 Reviews,5.0
1171,Responsive Website Development and Design,"Goldsmiths, University of London",Coursera,Self Paced,4 Reviews,3.0
1214,Software Testing Management,University System of Maryland,edX,"22nd Sep, 2020",2 Reviews,2.0
1215,"Automated Software Testing: Unit Testing, Coverage Criteria and Design for Testability",Delft University of Technology,edX,"22nd Sep, 2020",1 Reviews,4.0
1216,Automated Software Testing: Model and State-based Testing,Delft University of Technology,edX,"22nd Sep, 2020",1 Reviews,5.0
